time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,-8.6,-12.2,-4.4,,,,9.6,,,
2018-01-02,-6.0,-8.9,-1.7,,,262.0,19.9,,,
2018-01-03,-4.0,-7.8,0.6,,,,13.0,,,
2018-01-04,-2.9,-5.6,0.0,,,,10.5,,,
2018-01-05,-8.1,-11.1,-4.4,,,,9.1,,,
2018-01-06,-9.8,-12.8,-3.3,,,,13.7,,,
2018-01-07,-9.1,-14.4,-1.1,,,,13.4,,,
2018-01-08,-3.6,-7.8,-0.6,,,248.0,17.4,,,
2018-01-09,2.6,-1.1,8.3,,,,9.4,,,
2018-01-10,2.5,0.0,6.1,,,,7.5,,,
2018-01-11,6.6,2.8,10.6,,,,6.4,,,
2018-01-12,13.2,8.0,15.6,,,,8.9,,,
2018-01-13,3.7,-5.6,13.9,,,,8.7,,,
2018-01-14,-5.2,-8.3,-1.1,,,,13.3,,,
2018-01-15,-3.5,-7.2,0.6,,,42.0,23.2,,,
2018-01-16,0.1,-3.3,2.8,,,,11.1,,,
2018-01-17,0.7,-3.9,2.8,,,,9.4,,,
2018-01-29,5.7,3.3,7.8,,,42.0,23.0,,,
2018-01-30,0.7,-2.8,2.8,,,,10.8,,,
2018-01-31,-2.2,-6.7,1.7,,,,13.9,,,
2018-02-01,3.5,0.0,6.1,,,,9.7,,,
2018-02-02,-1.2,-7.2,4.4,,,,8.7,,,
2018-02-03,-3.7,-7.8,0.6,,,250.0,18.2,,,
2018-02-04,3.1,-1.1,7.8,,,,10.4,,,
2018-02-05,1.6,-2.2,5.0,,,,10.2,,,
2018-02-06,0.3,-2.8,2.8,,,,8.8,,,
2018-02-07,2.1,-0.6,7.8,,,,19.0,,,
2018-02-08,-0.2,-2.8,2.8,,,,11.2,,,
2018-02-09,0.0,-2.2,3.3,,,,11.3,,,
2018-02-10,6.6,3.3,10.6,,,,5.5,,,
2018-02-11,10.6,6.1,16.1,,,,8.5,,,
2018-02-12,8.4,2.2,17.2,,,,8.7,,,
2018-02-13,1.1,-1.1,4.4,,,,11.7,,,
2018-02-14,6.0,1.7,11.1,,,,9.8,,,
2018-02-15,10.1,6.7,14.4,,,258.0,9.1,,,
2018-02-16,10.5,3.3,13.9,,,,7.9,,,
2018-02-17,1.8,-1.1,5.0,,,,11.2,,,
2018-02-18,4.8,1.1,9.4,,,,6.5,,,
2018-02-19,6.5,3.3,8.9,,,,7.3,,,
2018-02-20,13.0,6.7,20.0,,,,9.0,,,
2018-02-21,17.3,10.6,24.4,,,,10.3,,,
2018-02-22,7.5,3.3,13.9,,,40.0,19.4,,,
2018-02-23,3.9,2.8,5.0,,,45.0,14.4,,,
2018-02-24,7.9,5.0,12.2,,,,9.1,,,
2018-02-25,6.0,5.6,6.7,,,,17.2,,,
2018-02-26,7.9,6.1,11.0,,,,8.6,,,
2018-02-27,8.3,4.4,14.4,,,,8.1,,,
2018-02-28,9.8,4.4,16.1,,,254.0,10.5,,,
2018-03-01,10.8,7.2,14.4,,,,11.1,,,
2018-03-02,3.8,1.7,7.2,54.5,,,13.6,,,
2018-03-03,5.8,3.3,10.0,,,,8.7,,,
2018-03-04,5.2,1.7,7.8,,,,10.7,,,
2018-03-05,3.8,1.1,7.2,,,,8.7,,,
2018-03-06,4.8,1.7,8.3,,,,10.6,,,
2018-03-07,2.1,1.1,3.9,,,,19.1,,,
2018-03-08,3.0,1.0,5.0,,,,11.9,,,
2018-03-09,2.6,-0.6,6.7,,,265.0,21.7,,,
2018-03-10,2.9,0.0,5.0,,,,14.4,,,
2018-03-11,4.4,0.6,8.9,,,,9.8,,,
2018-03-12,4.1,1.7,6.1,,,42.0,19.8,,,
2018-03-13,3.0,1.1,6.1,,,,9.9,,,
2018-03-14,2.2,0.0,5.0,,,266.0,24.9,,,
2018-03-15,4.1,0.6,9.4,,,,18.6,,,
2018-03-16,3.0,1.0,5.6,,,,10.1,,,
2018-03-17,3.7,-1.7,9.4,,,,10.4,,,
2018-03-18,4.0,-0.6,8.3,,,,7.9,,,
2018-03-19,5.2,2.2,9.4,,,,9.7,,,
2018-03-20,2.4,0.6,3.9,,,45.0,21.4,,,
2018-03-21,1.9,0.6,4.4,,,,23.6,,,
2018-03-22,5.3,1.0,11.7,,,,6.3,,,
2018-03-23,5.9,2.2,10.6,,,,7.1,,,
2018-03-24,6.7,2.2,11.7,,,,8.5,,,
2018-03-25,4.6,2.2,7.2,,,,17.5,,,
2018-03-26,5.0,2.2,10.0,,,69.0,17.1,,,
2018-03-27,4.2,2.2,6.7,,,90.0,11.4,,,
2018-03-28,6.2,3.3,9.4,,,,8.0,,,
2018-03-29,8.9,8.3,10.0,,,,6.9,,,
2018-03-30,10.8,7.8,15.0,,,,5.7,,,
2018-03-31,8.0,4.4,12.8,,,,12.7,,,
2018-04-01,10.2,6.7,15.0,,,,9.5,,,
2018-04-02,4.2,1.1,7.2,,,,15.8,,,
2018-04-03,4.9,3.9,6.0,,,,11.1,,,
2018-04-04,8.8,5.6,13.3,,,,13.5,,,
2018-04-05,4.9,1.7,7.8,,,,13.9,,,
2018-04-06,8.1,3.3,15.6,,,,12.6,,,
2018-04-07,7.4,5.0,11.7,,,,9.1,,,
2018-04-08,4.6,1.7,8.3,,,,10.1,,,
2018-04-09,4.2,0.6,10.0,,,,10.0,,,
2018-04-10,6.4,3.9,11.1,,,,9.1,,,
2018-04-12,10.4,6.7,15.6,,,,8.1,,,
2018-04-13,18.9,13.9,26.7,,,272.0,15.2,,,
2018-04-14,17.8,9.4,23.3,,,3.0,17.5,,,
2018-04-15,6.0,4.4,8.9,,,46.0,29.4,,,
2018-04-16,9.2,4.4,13.9,,,33.0,28.7,,,
2018-04-17,6.8,5.6,8.3,,,,20.5,,,
2018-04-18,7.8,3.9,12.8,,,263.0,17.4,,,
2018-04-19,7.3,5.0,9.4,,,,10.7,,,
2018-04-20,7.1,3.3,11.7,,,,7.2,,,
2018-04-21,10.7,5.0,17.8,,,,8.0,,,
2018-04-22,12.3,7.2,18.3,,,,7.2,,,
2018-04-23,12.0,7.8,16.7,,,,7.1,,,
2018-04-24,12.7,8.9,17.2,,,,11.6,,,
2018-04-25,12.8,11.7,14.4,,,60.0,14.5,,,
2018-04-26,15.4,11.1,20.6,,,,9.8,,,
2018-04-27,12.4,10.6,15.0,,,,11.8,,,
2018-04-28,13.4,10.0,18.3,,,,8.4,,,
2018-04-29,12.1,8.9,16.7,,,,6.8,,,
2018-04-30,9.6,8.3,10.6,,,,11.3,,,
2018-05-01,17.3,8.9,26.7,,,,10.2,,,
